electricity_demand,electricity_generation,electricity_share_energy,per_capita_electricity
74.32,74.47,13.789,1043.416
79.13,79.37,14.032,1089.435
84.08,84.81,14.58,1140.015
89.59,90.48,14.573,1191.101
95.51,96.21,14.651,1241.06
102.38,103.16,15.287,1304.579
109.15,109.5,15.38,1358.061
118.22,118.78,15.656,1444.682
123.39,124.29,15.493,1482.382
130.73,131.67,15.785,1539.981
158.86,160.3,18.429,1837.198
155.5,157.08,17.224,1760.985
164.0,164.4,17.327,1801.834
167.83,168.23,17.852,1801.604
174.61,175.29,18.823,1833.724
185.63,186.32,19.71,1906.598
189.31,189.58,18.982,1899.903
196.5,196.84,18.924,1933.797
199.05,199.62,19.178,1924.219
193.82,194.61,19.187,1842.572
188.47,189.29,20.137,1761.408
201.44,202.26,19.996,1851.144
207.28,208.1,19.515,1874.942
